HOUR,TOTALLOAD,WIND,SOLAR,PRICE
0,50567.06968,4632.099123,0.0,27.18
1,50617.08798,4528.098741,0.0,25.52
2,50694.30009,4536.027183,0.0,25.75
3,50999.59169,4572.576159,0.0,26.76
4,51723.73202,4476.322249,0.0,28.07
5,52955.63426,4373.4110040000005,0.0,30.89
6,54303.08218,4187.35538,0.0,36.31
7,55099.26744,3955.514544,0.4861769999999999,40.51
8,55553.88721,3614.871297,54.292631,58.49
9,56070.39046,3366.298789,181.774492,63.78
10,55948.92352,3019.623011,288.805172,55.53
11,55277.73031,2543.782144,441.744351,40.9
12,54097.79947,2037.480138,568.946512,37.15
13,52638.07541,2087.819545,672.6882740000001,34.33
14,51448.20072,2214.978671,693.139578,33.68
15,50789.64132,2085.30242,638.036731,32.53
16,51352.31578,1888.448809,488.351055,34.77
17,54211.99588,1685.7281,86.001732,53.82
18,57004.47628,1893.917221,0.0,66.19
19,57297.39945,2202.165887,0.0,61.45
20,57246.95656,2549.630751,0.0,54.56
21,56339.31002,2958.523927,0.0,43.43
22,54402.04123,3431.037256,0.0,41.68
23,52550.80369,3557.364852,0.0,35.75
24,51180.17031,3389.763206,0.0,36.03
25,50492.67068,3124.5033390000003,0.0,32.24
26,50220.57629,3122.21498,0.0,33.11
27,50376.20198,2971.113501,0.0,35.53
28,51246.18297,2777.090233,0.0,48.61
29,53359.28912,2479.242307,0.0,55.0
30,56175.63306,2217.615377,0.0,169.16
31,57805.27311,2126.139704,0.2687299999999999,191.56
32,58347.53961,2010.259886,37.638827000000006,120.31
33,58976.88051,1791.1319470000003,135.309949,99.6
34,59169.75344,1698.644726,200.853998,67.63
35,58728.06836,1650.213761,275.635418,52.88
36,57943.43934,1781.686172,327.900379,43.27
37,57341.89343,1905.694342,288.67965200000003,38.56
38,56978.44408,2200.783527,267.059003,36.82
39,57030.79318,2572.629282,231.013092,37.22
40,57885.45889,2922.376216,155.702263,42.76
41,60183.75054,3159.863842,30.525269,83.84
42,61948.67944,3464.838814,0.0,105.59
43,61781.61366,3496.396997,0.0,77.09
44,61125.41192,3608.466533,0.0,70.16
45,59549.12311,4187.606679,0.0,52.42
46,56984.7131,5185.580235,0.0,46.45
47,54990.74437,6174.889745,0.0,38.1
48,53932.17519,7254.693608,0.0,33.06
49,53706.42586,7860.695588,0.0,31.59
50,53907.18388,8336.637789,0.0,31.37
51,54627.44681,8538.873505,0.0,32.14
52,55927.53652,8502.261659,0.0,44.72
53,58500.38652,8447.689491,0.0,52.47
54,61855.51555,8492.78801,0.0,108.53
55,62889.9725,8649.270055,2.899535,100.97
56,61351.86095,7280.538738,262.034736,67.85
57,58605.55471,5284.397279000001,828.487737,66.28
58,55573.30929,3737.505259,931.814391,59.3
59,52365.39939,2903.685922,940.801353,52.99
60,49273.12221,2386.534192,928.176629,48.34
61,46785.43518,2130.377971,929.819377,45.95
62,44595.06254,2050.804623,947.204042,44.75
63,43241.16479,1809.742116,903.756769,44.98
64,43164.50219,1304.592725,636.8764289999999,48.05
65,45729.56991,793.783857,111.50402000000004,55.25
66,49544.06319,744.75483,0.0,68.8
67,50707.82226,844.392474,0.0,65.28
68,51398.17648,1479.331776,0.0,64.97
69,51088.64927,2482.875183,0.0,58.94
70,49504.10529,3257.5962440000003,0.0,53.37
71,48096.867,3476.154939,0.0,51.64
72,47332.28236,3824.442459,0.0,42.69
73,47232.81445,4067.27019,0.0,42.28
74,47503.65129,4240.565619999999,0.0,42.64
75,48222.42085,4295.71795,0.0,44.35
76,49670.90392,4594.851528,0.0,45.72
77,52341.61354,5159.611788,0.0,58.92
78,55935.00467,5836.603286,0.0,90.37
79,57163.14489,6338.370129,2.89597,76.93
80,55477.26698,6654.597027999999,139.501599,56.26
81,52336.90362,5442.049083999999,402.405993,58.67
82,49132.37386,4615.0085500000005,519.3925879999999,51.82
83,46374.03235,6412.969223000001,549.000554,45.47
84,43943.12599,6432.308158,528.6821420000001,43.61
85,42180.73735,5570.133510000001,441.832769,40.23
86,40805.36506,4527.144366,322.02609599999994,38.2
87,40381.17735,4288.51705,165.76255500000002,39.17
88,41141.73325,4064.363326,83.29999099999999,42.92
89,43647.74109,4478.320401999999,15.990307,53.04
90,46243.25068,5779.715819999999,0.0,59.26
91,46716.68785,6780.245601999999,0.0,54.93
92,46692.93716,7844.71619,0.0,53.91
93,45640.17835,7403.712151000001,0.0,47.01
94,43649.85627,6537.761468,0.0,48.94
95,41823.63554,6252.0273720000005,0.0,49.06
96,40595.29842,6043.943372,0.0,40.06
97,40132.84271,5957.022366,0.0,33.75
98,40102.91134,5570.431215,0.0,34.96
99,40599.94639,5745.947708,0.0,34.94
100,41787.2404,5926.007679,0.0,39.66
101,44265.95203,5835.709537,0.0,44.41
102,47603.61578,5757.469474000001,0.0,54.64
103,49054.99184,5610.432027999999,1.020515,54.39
104,48216.94957,4405.757136,191.381745,41.27
105,46521.90767,2611.096484,707.268554,33.83
106,44645.17366,2035.828413,829.626141,36.24
107,42542.52695,1670.889231,862.393551,31.95
108,40424.38048,1148.9301380000002,891.6121459999999,30.2
109,38855.03281,918.816196,906.983196,27.15
110,37613.02847,981.972141,929.278081,26.72
111,36739.9305,1200.314824,831.5866520000001,26.23
112,36678.06802,1221.395766,547.040712,27.37
113,38305.01318,1116.072753,91.720067,41.07
114,40725.30896,1694.980227,0.045577,38.85
115,41133.19876,2885.811955,0.0,32.68
116,41346.20832,4119.134739,0.0,30.59
117,41155.65785,5294.485343,0.0,30.03
118,40175.07121,6286.625575,0.0,28.9
