TOTALLOAD,WIND,SOLAR
52752.723,0.49040976,0.0
50854.133,0.4590275,0.0
50312.113,0.47605506,0.0
49247.59,0.4035984,0.0
49955.082,0.40677935,0.0
50086.297,0.4063511,0.0
51506.21,0.40237644,0.04045303
56534.89,0.39789003,0.35983127
60662.547,0.39468268,0.6642753
66306.17,0.33872026,0.84744215
70479.805,0.2342978,0.9191889
73918.06,0.15932123,0.8960031
76390.81,0.14740299,0.8850024
78185.15,0.1404685,0.8784351
77469.1,0.158271,0.8462497
75787.94,0.2018296,0.8080755
75210.9,0.22496928,0.69534
72304.16,0.24367689,0.5498384
69211.69,0.24854387,0.26138252
67405.37,0.26553348,0.0
64089.227,0.3083886,0.0
60295.117,0.33612597,0.0
57630.72,0.3977624,0.0
54369.68,0.34704626,0.0
40945.816,0.23106392,0.0
39686.336,0.21398462,0.0
39683.63,0.20376793,0.0
39775.945,0.21521378,0.0
41409.934,0.22897658,0.0
44380.36,0.23133029,0.0
47088.54,0.21479018,0.0
48210.438,0.17560458,0.11731452
49153.914,0.13785146,0.38116258
51119.855,0.12405833,0.61976963
52224.24,0.110567644,0.6758941
53523.777,0.11442396,0.70298785
55622.46,0.13648276,0.7012689
56745.844,0.1881097,0.834884
56949.445,0.19271387,0.78740495
57064.23,0.16777116,0.87688965
56759.812,0.16723722,0.80522877
56607.207,0.15577614,0.4147389
55410.81,0.18724279,0.06515951
54410.51,0.20135905,0.0
52244.965,0.2364262,0.0
49304.766,0.24373104,0.0
46463.06,0.2304081,0.0040055513
44417.418,0.2509706,0.0
36961.73,0.34095103,0.0
35101.848,0.33837062,0.0
34833.004,0.34657532,0.0
34996.605,0.3674194,0.0
35993.453,0.3297111,0.0
39158.086,0.3339267,0.0
40813.47,0.34656626,0.0
41973.5,0.29187793,0.08184548
42936.625,0.257247,0.5910308
45652.87,0.21609217,0.84139884
47734.42,0.2105331,0.91073734
49722.85,0.21811017,0.91617775
53917.438,0.23376833,0.91291434
56578.65,0.2655572,0.8416073
57720.004,0.25506958,0.84900355
57669.016,0.27085644,0.7808448
57174.83,0.2696246,0.51336604
55253.81,0.23941408,0.0041045398
53725.566,0.27126405,0.0
51146.066,0.32883927,0.0
48744.484,0.38980874,0.0
45858.2,0.428299,0.0
43024.727,0.42308706,0.0
40092.547,0.44516668,0.0
42072.344,0.19132107,0.0
41226.1,0.17841192,0.0
40015.29,0.17854297,0.0
39596.95,0.23125185,0.0
40153.867,0.30345395,0.0
40710.19,0.3443359,0.0
41772.312,0.38637927,0.0
42891.746,0.40507033,0.0
45402.625,0.40332028,0.008129835
46173.387,0.36086258,0.20633465
45831.33,0.31955755,0.263412
44583.957,0.32627124,0.29877287
43765.496,0.36299464,0.35414994
42883.316,0.4186948,0.31438103
42749.062,0.41531187,0.27453575
42354.984,0.39199242,0.18167013
42916.26,0.33354726,0.0
44815.594,0.3441681,0.0
47199.63,0.35241967,0.0
46705.76,0.3859086,0.0
45889.285,0.41407108,0.0
46331.96,0.4462786,0.0
44901.484,0.4740273,0.0
42921.355,0.46222737,0.0
34085.188,0.3528328,0.0
33076.53,0.3362953,0.0
32170.46,0.3158853,0.0
32105.756,0.29877058,0.0
32343.154,0.3359984,0.0
32651.992,0.3561827,0.0
33671.684,0.34749576,0.13353135
34719.77,0.2780283,0.3672871
36349.33,0.23100306,0.5021985
38025.57,0.19003142,0.64369476
39111.473,0.13814737,0.7170704
39812.92,0.12638274,0.7639467
41592.043,0.117836066,0.79900104
43742.484,0.13195081,0.74789053
45184.906,0.16742255,0.7730731
46584.902,0.16915517,0.6603025
47382.8,0.16069809,0.6221365
46293.805,0.19636653,0.4655651
45415.188,0.2559215,0.24104047
45242.305,0.2676699,0.0
44072.703,0.28695804,0.0
42349.38,0.31913456,0.0
40135.523,0.35131186,0.0
37469.992,0.3660871,0.0
41037.242,0.6293864,0.010979831
40008.203,0.58145416,0.0
39797.508,0.5675713,0.0
40404.008,0.60606956,0.0
41798.812,0.60917354,0.0
44216.33,0.62243986,0.0
46343.36,0.607807,0.0
47539.21,0.5792582,0.0
47902.93,0.56464905,0.223439
48747.01,0.55614096,0.5230272
49765.39,0.54725045,0.56860626
49902.35,0.501364,0.59319717
49749.92,0.4320512,0.60190415
50885.36,0.35120633,0.6785476
50280.26,0.26480675,0.6791373
50767.37,0.22542188,0.71153116
50768.383,0.15342498,0.49068427
51517.566,0.12244959,0.12486492
52703.246,0.105864085,0.0
51907.543,0.12686679,0.0
50519.496,0.12801632,0.0
48969.938,0.1511893,0.0
