TOTALLOAD,WIND,SOLAR
54357.336,0.53036296,0.0
52500.74,0.50388414,0.0
51169.008,0.5108254,0.0
49815.2,0.43707094,0.0
50256.508,0.4331118,0.0
49922.812,0.43496847,0.0
51210.82,0.41813442,0.0443706
54445.035,0.40815872,0.3604882
58233.984,0.41183403,0.6279128
63851.72,0.35122955,0.78440964
68584.91,0.2732753,0.8567153
72746.17,0.17798632,0.8493377
75036.28,0.17106187,0.86767054
77285.86,0.14227416,0.86399007
75966.51,0.1469228,0.81118214
74914.984,0.18054526,0.76131046
74930.94,0.19318521,0.6370856
72930.74,0.2306334,0.5177947
70352.41,0.2617134,0.2050815
67925.58,0.28152946,0.0
65159.008,0.31259817,0.0
62658.008,0.352912,0.0
58977.59,0.35942274,0.0
56223.57,0.29744703,0.0
40618.598,0.3278005,0.0
39908.426,0.33210978,0.0
39164.484,0.32406256,0.0
39648.086,0.3212405,0.0
41675.75,0.3013906,0.0
44348.13,0.26943097,0.0
46839.21,0.21746843,0.0
47650.93,0.17353067,0.07348351
48785.023,0.14003365,0.37693846
50348.12,0.116977185,0.6042621
51840.39,0.10859827,0.69098365
53360.258,0.11032311,0.7900897
55532.25,0.10563532,0.77334416
57522.438,0.14610474,0.77919555
58717.406,0.17229973,0.82334673
58897.684,0.20061545,0.7744037
58878.746,0.23894909,0.7247988
57543.21,0.23646523,0.3924821
57540.656,0.28856277,0.020592198
56574.547,0.30281606,0.0
53942.03,0.30269748,0.0
50195.15,0.30499417,0.0
46909.12,0.27482465,0.0
45219.773,0.30375028,0.0
37319.84,0.4224757,0.0
36043.12,0.42913976,0.0
35435.168,0.41316953,0.0
35329.17,0.42885888,0.0
36270.527,0.3894118,0.0
38655.71,0.38177222,0.0
40392.1,0.37324744,0.0
41232.613,0.3180642,0.05589571
42170.344,0.27952886,0.5883925
44472.18,0.23296735,0.84754145
45986.293,0.20257604,0.9169183
48515.29,0.18981622,0.8965968
51846.492,0.21856564,0.8985143
53249.89,0.23054564,0.81013286
54745.32,0.20276886,0.8047836
55633.227,0.24282229,0.75552416
54711.223,0.2353766,0.5523442
52808.004,0.25510725,0.0
53039.324,0.31864813,0.0
50297.055,0.40886316,0.0
47946.71,0.45422298,0.0
45060.203,0.47937137,0.0
42439.16,0.47333044,0.0
40116.586,0.49806488,0.0
40927.965,0.2591839,0.0
40516.99,0.23672855,0.0
39578.508,0.24863474,0.0
39044.004,0.27310947,0.0
39465.242,0.35105047,0.0
38663.9,0.374749,0.0
40964.688,0.4146333,0.0
43429.32,0.45631945,0.0
46215.715,0.44919333,0.0
46974.914,0.3986241,0.14012933
47443.74,0.34094906,0.15617274
46298.01,0.35889113,0.21889177
45535.098,0.3899414,0.31689906
45258.5,0.4546533,0.30349255
45064.957,0.42513505,0.3195157
44583.086,0.37870622,0.28867534
45382.188,0.3124261,0.19405127
46568.703,0.31053373,0.0
48740.152,0.30949858,0.0
48540.79,0.38824457,0.0
48383.875,0.46888438,0.0
48713.688,0.4844751,0.0
46567.76,0.5342614,0.0
43662.617,0.50082344,0.0
34156.047,0.433687,0.0
33047.402,0.4202926,0.0
32881.46,0.39884743,0.0
32348.514,0.33181775,0.0
32727.46,0.36639985,0.0
33485.04,0.39845783,0.0
34633.54,0.39422715,0.048443735
35724.117,0.33873537,0.40906096
