,TOTALLOAD,WIND,SOLAR
0,46276.965,0.5193369,6.6379565e-05
1,40002.53,0.38294503,0.000103165316
2,40261.973,0.3811279,4.6206114e-05
3,38304.78,0.5559655,0.000109062355
4,48434.57,0.4300805,4.8120426e-05
5,39689.35,0.3804981,0.00016675667
6,42014.527,0.22790709,0.00059778447
7,43985.797,0.24604772,0.45665526
8,53890.84,0.19469455,0.6087566
9,47893.234,0.13706139,0.8015326
10,46128.598,0.084261775,1.0910916
11,62452.61,0.18051134,0.9266419
12,52958.46,0.08187782,1.0203202
13,70912.734,0.091894366,1.122145
14,70405.734,0.17160414,0.87675774
15,61870.688,0.25481972,0.7671037
16,67412.31,0.18682429,0.7140036
17,65357.89,0.30522633,0.4903739
18,67443.72,0.24577963,0.3677062
19,70742.08,0.38015607,0.00028167714
20,63482.86,0.37058166,5.5626544e-05
21,52668.88,0.5363962,9.282273e-05
22,49107.926,0.6218826,0.00013617521
23,42081.93,0.5401948,8.378641e-05
24,38590.895,0.53740054,0.00044617517
25,36859.918,0.47283673,0.0011526163
26,38317.17,0.5414948,0.00052325777
27,33040.38,0.63058543,0.0008990719
28,34430.477,0.562665,0.0005714381
29,36514.04,0.5493915,0.0010290669
30,41404.35,0.5318878,0.0012021048
31,50253.2,0.44331166,0.05111749
32,50664.785,0.34779683,0.25597534
33,39817.312,0.34358215,0.4085643
34,43851.793,0.26347572,0.5375393
35,44447.324,0.4959154,0.7097856
36,39130.37,0.31422928,0.67072785
37,42937.844,0.31060323,0.71224666
38,44039.574,0.2901772,0.44947863
39,45407.906,0.3247633,0.62176955
40,42926.797,0.36143497,0.30826283
41,45833.195,0.39271218,0.23339269
42,46430.49,0.5350466,0.013636038
43,46590.227,0.5525788,0.0012003976
44,48847.375,0.5732683,0.00031798804
45,42670.977,0.56520283,0.0005037724
46,39671.58,0.5641787,0.001850592
47,39166.242,0.47170258,0.0005680886
48,34852.953,0.37571007,0.00034165411
49,43344.707,0.6451129,0.0014444799
50,53735.754,0.72267365,0.0008057874
51,32108.213,0.52632093,0.0011000518
52,31102.236,0.52692914,0.0006680771
53,34205.15,0.61937237,0.0011401688
54,47941.31,0.7731677,0.0002016731
55,60452.61,0.68996644,0.00012632059
56,41949.26,0.4381823,0.05182722
57,45351.918,0.55196804,0.3604635
58,40316.742,0.21959895,0.086953
59,43043.04,0.643765,0.5853024
60,48328.074,0.49554595,0.30760562
61,39011.582,0.7491775,0.3445828
62,55617.895,0.32698527,0.0985984
63,51708.5,0.29216364,0.3906309
64,57600.16,0.28197098,0.082837075
65,57325.58,0.24033524,0.023197083
66,58981.297,0.33433327,3.6821148e-05
67,53255.754,0.18225196,0.0008821403
68,44495.113,0.2590096,0.00022507303
69,37782.336,0.116823584,0.00037359097
70,43949.97,0.06894219,0.0040774476
71,39700.55,0.12903056,0.0005097782
72,33526.62,0.38077658,0.00034092198
73,32938.934,0.30650017,0.0006587822
74,36518.12,0.2662965,0.00034822815
75,31625.695,0.4427367,0.0008119091
76,32391.479,0.33295062,0.0003797432
77,34826.977,0.4333984,0.00078507554
78,40087.81,0.2681136,0.0016407054
79,42165.15,0.2870975,0.28506762
80,44489.734,0.28683224,0.39972132
81,35844.72,0.22444512,0.60689723
82,39653.5,0.17567185,0.91039896
83,48089.5,0.3919387,0.9276018
84,40649.61,0.21921633,1.0423464
85,39847.438,0.15125003,0.9976526
86,44613.918,0.13934514,0.7085087
87,40527.54,0.23551859,1.0033844
88,41193.477,0.20131682,0.5060006
89,43027.375,0.17735429,0.6482239
