TOTALLOAD,WIND,SOLAR
39867.71,0.16942212,0.0
38289.906,0.15316103,0.0
37037.125,0.1347817,0.0
37644.414,0.12006666,0.0
39412.055,0.1285459,0.0
41827.83,0.13064817,0.0
43664.297,0.12904716,0.0
43910.61,0.12844108,0.0
44796.84,0.1648544,0.32260674
46447.96,0.15700373,0.44039902
48126.633,0.16633274,0.4975361
49166.793,0.18683809,0.5210984
49583.78,0.14894076,0.55285746
50157.207,0.16370803,0.5875629
51475.074,0.20979312,0.45707965
51863.137,0.27416992,0.44294152
51549.73,0.22724561,0.24225068
51353.273,0.22090681,0.0
51554.78,0.18659163,0.0
49776.203,0.15139857,0.0
48156.523,0.19148642,0.0
46199.57,0.2501044,0.0
43641.94,0.24432871,0.0
41506.457,0.21358837,0.0
45619.89,0.24758282,0.0
44429.293,0.233932,0.0
44317.84,0.22286579,0.0
45047.6,0.21900925,0.0
45927.574,0.22199893,0.0
48375.43,0.21001746,0.0
48817.59,0.18272384,0.0
49948.7,0.19671439,0.07826556
50227.11,0.14805205,0.40432146
50042.496,0.104782,0.4963603
48905.336,0.10169933,0.48685858
47674.24,0.10724857,0.5047511
46847.562,0.04837843,0.5161604
45606.934,0.038837716,0.54778016
43468.633,0.028962178,0.5213342
43309.875,0.035428543,0.43227622
44809.56,0.05490097,0.22327626
46951.344,0.040073853,0.0
48445.496,0.042587783,0.0
49112.14,0.053579785,0.0
49041.22,0.0620757,0.0
48081.684,0.06901233,0.0
46922.1,0.116980515,0.0
45276.656,0.14541034,0.0
35172.793,0.27877772,0.0
34686.96,0.26408285,0.0
34324.164,0.24852434,0.0
34047.65,0.22248527,0.0
35089.387,0.20620207,0.0
36129.96,0.1780862,0.0
37163.22,0.16718213,0.0
39358.336,0.21439269,0.44525087
40560.344,0.21131106,0.69970655
40777.406,0.17645173,0.8522655
40439.242,0.13149707,0.89772654
40234.82,0.1232166,0.98380965
40967.527,0.12195108,0.9863824
41587.156,0.13895948,0.99761015
42206.586,0.1781831,1.0068269
42161.145,0.18311639,0.9661432
42145.668,0.21350329,0.86518675
43011.582,0.3222617,0.5909193
42926.062,0.32843438,0.09028812
42232.004,0.44230816,0.0
40480.367,0.5254388,0.0
38560.93,0.5406537,0.0
36610.17,0.5952195,0.0
34473.785,0.56713146,0.0
41641.81,0.65628976,0.0
40475.848,0.6626732,0.0
39392.133,0.6758633,0.0
39041.266,0.6884898,0.0
39588.61,0.6659928,0.0
42134.145,0.6633237,0.0
45371.668,0.6568295,0.0
46957.582,0.6657885,0.0
47290.37,0.67945325,0.3357414
47521.62,0.6555557,0.44776064
47117.445,0.67907786,0.47071743
46491.58,0.6852457,0.50407773
45755.383,0.7338534,0.51903796
45305.004,0.7350897,0.5727641
44803.305,0.7018495,0.5784497
44473.33,0.64152896,0.50276774
45369.055,0.57484865,0.42043006
46474.19,0.47016624,0.11435144
48481.05,0.5703748,0.0
49334.184,0.47168785,0.0
49314.99,0.4725315,0.0
48051.227,0.518777,0.0
46197.67,0.42432383,0.0
43557.74,0.4029945,0.0
37063.367,0.3056618,0.0
37123.125,0.29632083,0.0
37473.934,0.28570783,0.0
38205.145,0.23859584,0.0
40365.227,0.19114077,0.0
44476.15,0.18000406,0.0
50368.254,0.2094596,0.0
50357.258,0.30014274,0.0
49198.438,0.26114976,0.38312918
47640.273,0.22138497,0.61773086
46066.535,0.16317219,0.7001715
45021.402,0.18641518,0.69403434
44866.57,0.27026004,0.69050395
44353.754,0.25262532,0.68467605
43975.61,0.22886667,0.69626004
44053.426,0.2652162,0.6655249
44719.746,0.25405023,0.5746661
45982.715,0.25898662,0.26026642
47676.176,0.2767322,0.0
47603.19,0.26047614,0.0
46545.24,0.5134381,0.0
44488.703,0.56792974,0.0
41872.836,0.5300663,0.0
39380.016,0.5989494,0.0
36819.984,0.25914228,0.0
35861.996,0.24107762,0.0
34853.11,0.21056134,0.0
35266.8,0.20199476,0.0
36262.82,0.21968402,0.0
37448.03,0.21753687,0.0
37459.7,0.12862572,0.0
40192.67,0.11833509,0.0
41195.258,0.09999039,0.0
42012.82,0.091002256,0.0040630847
43297.19,0.069451146,0.1082766
44078.85,0.057460446,0.19123355
44484.65,0.06077391,0.33498168
43462.4,0.07788045,0.41841716
42713.168,0.05122841,0.4782982
42218.203,0.054161306,0.5671674
43092.633,0.06744328,0.41750097
45341.754,0.08778941,0.028191663
46741.33,0.090370595,0.0
46368.96,0.111152984,0.0
45389.09,0.119710736,0.0
44290.645,0.17104718,0.0
42814.04,0.2003405,0.0
40811.74,0.16505274,0.0
48559.03,0.41621688,0.0
46947.58,0.37612563,0.0
45788.49,0.35025463,0.0
45261.793,0.31310254,0.0
45537.75,0.26746953,0.0
47640.78,0.23405433,0.0
49139.74,0.19699374,0.14942026
51551.254,0.17364472,0.39916193
55608.22,0.16836011,0.6314447
58890.75,0.14066158,0.71932685
61747.12,0.14537707,0.7478985
64794.758,0.14239234,0.78282684
67220.89,0.18026778,0.76504564
68340.11,0.2014533,0.76970303
69029.766,0.21590635,0.7587238
68634.51,0.22474705,0.77869636
68738.586,0.24634995,0.6914961
66481.164,0.2675346,0.5362321
64408.707,0.27106902,0.32523403
61469.105,0.27249444,0.0
57700.797,0.29097778,0.0
54473.5,0.29658744,0.0
51457.47,0.34113318,0.0
47749.92,0.35773987,0.0
35705.637,0.36628202,0.0
34840.895,0.36977717,0.0
33932.35,0.3656256,0.0
34017.55,0.3593108,0.0
35097.33,0.38321435,0.0
35650.562,0.31449175,0.0
35886.246,0.28971142,0.0
37049.207,0.26293227,0.19773468
38708.38,0.2537312,0.5910883
41029.277,0.23505023,0.7983177
41756.715,0.2579799,0.77959013
42887.418,0.24853308,0.83331597
